filename,set,dominant_heuristic,instance_type,n_items,capacity,weight_min,weight_max,profit_min,profit_max,w_mean,w_median,w_std,p_mean,p_median,p_std,wp_corr_raw,wp_corr,capacity_ratio
DEF_EASY_100_000.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.655,0.703,0.245,0.551,0.615,0.295,-0.169,0.415,0.031
DEF_EASY_100_001.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.631,0.648,0.258,0.48,0.455,0.293,-0.063,0.469,0.032
DEF_EASY_100_002.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.62,0.641,0.248,0.47,0.455,0.314,0.003,0.502,0.032
DEF_EASY_100_003.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.615,0.641,0.262,0.495,0.46,0.319,-0.08,0.46,0.033
DEF_EASY_100_004.kp,Set-100-128,DEF,easy,100,128,2,64,3,100,0.663,0.68,0.242,0.507,0.46,0.29,-0.111,0.445,0.03
DEF_EASY_100_005.kp,Set-100-128,DEF,easy,100,128,2,63,3,100,0.614,0.675,0.26,0.515,0.555,0.301,0.028,0.514,0.033
DEF_EASY_100_006.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.639,0.711,0.255,0.445,0.395,0.302,0.005,0.503,0.031
DEF_EASY_100_007.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.609,0.625,0.261,0.496,0.51,0.309,0.156,0.578,0.033
DEF_EASY_100_008.kp,Set-100-128,DEF,easy,100,128,1,64,2,100,0.627,0.633,0.264,0.519,0.535,0.294,-0.011,0.495,0.032
DEF_EASY_100_009.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.624,0.617,0.248,0.455,0.42,0.297,-0.082,0.459,0.032
DEF_EASY_100_010.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.628,0.656,0.246,0.486,0.485,0.308,-0.018,0.491,0.032
DEF_EASY_100_011.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.615,0.625,0.263,0.481,0.425,0.291,-0.132,0.434,0.033
DEF_EASY_100_012.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.681,0.719,0.241,0.519,0.505,0.276,-0.248,0.376,0.029
DEF_EASY_100_013.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.61,0.594,0.265,0.535,0.565,0.287,-0.112,0.444,0.033
DEF_EASY_100_014.kp,Set-100-128,DEF,easy,100,128,1,63,2,100,0.603,0.635,0.28,0.535,0.55,0.309,-0.076,0.462,0.034
DEF_EASY_100_015.kp,Set-100-128,DEF,easy,100,128,3,64,2,100,0.628,0.609,0.228,0.539,0.57,0.312,0.001,0.5,0.032
DEF_EASY_100_016.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.617,0.641,0.252,0.513,0.55,0.307,0.069,0.534,0.032
DEF_EASY_100_017.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.645,0.703,0.267,0.482,0.45,0.287,-0.142,0.429,0.031
DEF_EASY_100_018.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.647,0.68,0.265,0.453,0.455,0.294,0.004,0.502,0.031
DEF_EASY_100_019.kp,Set-100-128,DEF,easy,100,128,2,63,1,100,0.612,0.587,0.251,0.495,0.495,0.298,0.033,0.517,0.033
DEF_EASY_100_020.kp,Set-100-128,DEF,easy,100,128,3,64,3,99,0.65,0.688,0.225,0.5,0.525,0.296,0.093,0.547,0.031
DEF_EASY_100_021.kp,Set-100-128,DEF,easy,100,128,2,63,1,99,0.64,0.667,0.256,0.531,0.525,0.315,0.032,0.516,0.032
DEF_EASY_100_022.kp,Set-100-128,DEF,easy,100,128,1,64,1,98,0.65,0.703,0.249,0.466,0.434,0.316,0.033,0.517,0.031
DEF_EASY_100_023.kp,Set-100-128,DEF,easy,100,128,2,64,3,100,0.655,0.672,0.25,0.513,0.515,0.283,-0.183,0.408,0.031
DEF_EASY_100_024.kp,Set-100-128,DEF,easy,100,128,1,64,3,100,0.653,0.688,0.242,0.458,0.43,0.304,-0.134,0.433,0.031
DEF_EASY_100_025.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.639,0.641,0.241,0.506,0.505,0.308,-0.1,0.45,0.031
DEF_EASY_100_026.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.66,0.688,0.244,0.507,0.45,0.305,-0.114,0.443,0.03
DEF_EASY_100_027.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.662,0.711,0.247,0.479,0.515,0.306,-0.149,0.425,0.03
DEF_EASY_100_028.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.61,0.633,0.253,0.499,0.495,0.312,-0.0,0.5,0.033
DEF_EASY_100_029.kp,Set-100-128,DEF,easy,100,128,1,64,2,100,0.639,0.648,0.253,0.512,0.53,0.287,0.052,0.526,0.031
DEF_EASY_100_030.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.656,0.688,0.224,0.453,0.405,0.29,-0.24,0.38,0.03
DEF_EASY_100_031.kp,Set-100-128,DEF,easy,100,128,1,64,2,99,0.618,0.609,0.25,0.495,0.505,0.289,-0.016,0.492,0.032
DEF_EASY_100_032.kp,Set-100-128,DEF,easy,100,128,1,64,1,99,0.636,0.68,0.255,0.453,0.449,0.303,-0.147,0.426,0.031
DEF_EASY_100_033.kp,Set-100-128,DEF,easy,100,128,2,64,3,100,0.658,0.695,0.257,0.536,0.54,0.3,0.016,0.508,0.03
DEF_EASY_100_034.kp,Set-100-128,DEF,easy,100,128,1,64,2,100,0.645,0.742,0.276,0.511,0.515,0.301,0.043,0.521,0.031
DEF_EASY_100_035.kp,Set-100-128,DEF,easy,100,128,1,63,1,100,0.665,0.706,0.235,0.497,0.515,0.281,0.001,0.501,0.031
DEF_EASY_100_036.kp,Set-100-128,DEF,easy,100,128,1,64,3,100,0.646,0.695,0.268,0.489,0.47,0.314,-0.117,0.442,0.031
DEF_EASY_100_037.kp,Set-100-128,DEF,easy,100,128,1,64,3,99,0.652,0.719,0.25,0.459,0.369,0.305,-0.185,0.407,0.031
DEF_EASY_100_038.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.636,0.656,0.259,0.5,0.485,0.314,0.052,0.526,0.031
DEF_EASY_100_039.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.63,0.641,0.246,0.533,0.57,0.294,0.006,0.503,0.032
DEF_EASY_100_040.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.614,0.617,0.255,0.439,0.35,0.304,0.039,0.52,0.033
DEF_EASY_100_041.kp,Set-100-128,DEF,easy,100,128,1,64,2,100,0.639,0.641,0.254,0.574,0.62,0.313,0.056,0.528,0.031
DEF_EASY_100_042.kp,Set-100-128,DEF,easy,100,128,4,64,2,100,0.656,0.695,0.241,0.503,0.47,0.299,-0.216,0.392,0.03
DEF_EASY_100_043.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.632,0.641,0.257,0.495,0.515,0.285,-0.114,0.443,0.032
DEF_EASY_100_044.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.686,0.734,0.254,0.506,0.505,0.301,-0.097,0.452,0.029
DEF_EASY_100_045.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.597,0.625,0.263,0.532,0.515,0.299,-0.067,0.466,0.034
